,user_name,list_count,verified_account,url_count,hashtag_diversity,user_tag_diversity,likes_no,retweet_no,friends_following_ratio,tweet_frequency,lexical_diversity,age_of_account
0,10_print_bot,2,False,0,0.0,0.0,2,0,0.909090909091,3.60,1.0,292
1,11_11_bot,13,False,0,0.0,0.0,20,3,0.966666666667,1.98,0.136174636175,1013
2,12hrISBNJPEG,9,False,61,0.0,0.0,2,2,1.0,2.00,0.125292740047,1623
3,15kPhrases,10,False,0,0.0,0.0,6,4,0.992,3.46,0.537544696067,803
4,1800greatbot,9,False,0,0.0,0.0,3,0,1.0,76.55,0.999652898299,1456
5,1800sOzPublican,3,False,1,0.0,0.0,4,10,1.0,5.39,0.321354321354,384
6,1900badsext,5,False,0,0.0,0.0,0,0,0.862068965517,3.77,1.0,1005
7,1f44f_bot,10,False,16,0.0,0.0,22,8,1.0,10.68,0.350016572754,746
8,1fois1000,5,False,0,0.0,0.0,26,2,0.9875,4.95,0.0641711229947,716
9,2blessed_exe,9,False,0,0.0,0.0,2,3,1.0,18.14,0.36717428088,842
10,2offbeat2tweet,12,False,0,0.0,0.0,7,0,0.983333333333,6.00,0.226081657526,1007
11,2PrincesDrafts,14,False,0,0.0,0.0,0,0,1.0,12.09,0.019214527027,1453
12,3Stoppages,10,False,0,0.0,0.0,2,0,0.964285714286,8.02,1.0,608
13,4myrealfriends,91,False,0,0.0,0.0,48,28,0.999080036799,12.63,0.158376963351,1620
14,4X_Bot,2,False,0,0.0,0.0,9,0,1.0,141.67,0.0112178493957,683
15,500dollarwords,8,False,0,0.0,0.0,23,6,0.310606060606,22.32,0.998518518519,623
16,50hexofgrey,3,False,0,0.0,0.0,0,0,1.0,1.00,1.0,444
17,575on,9,False,0,0.00600600600601,1.0,32,1,0.3,8.67,0.332441471572,719
18,5adaybot,6,False,0,0.00138696255201,0.0,0,1,1.0,23.94,0.00521405049396,869
19,5oclockbot,84,False,0,0.0,0.0,462,14,0.999139414802,24.69,0.162565445026,1714
20,5point9billion,31,False,0,0.0,0.55614973262,53,12,0.981220657277,35.54,0.0651969981238,964
21,5X5poems,11,False,0,0.0,0.0,10,2,0.418803418803,23.92,0.0398504273504,623
22,8008bot,9,False,0,0.0322580645161,0.0,8,0,0.259259259259,1.11,0.247933884298,710
23,a10n_bot,9,False,0,0.0,0.0,0,0,1.0,10.25,0.939516129032,619
